,Name,Card Type,Attribute,Type of Spell and Trap,Type,Level/Rank/Link,Abilities/Other,Cid,Release Name,Release Date,Release Link
3035,Berserk Gorilla,Effect,EARTH,,Beast,4,,5823,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3036,Freed the Brave Wanderer,Effect,LIGHT,,Warrior,4,,5824,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3037,Coach Goblin,Effect,EARTH,,Fiend,4,,5825,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3038,Witch Doctor of Chaos,Flip,DARK,,Spellcaster,2,,5826,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3039,Chaos Necromancer,Effect,DARK,,Fiend,1,,5827,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3040,Chaosrider Gustaph,Effect,WIND,,Warrior,4,,5828,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3041,Inferno,Effect,FIRE,,Pyro,4,,5829,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3042,Fenrir,Effect,WATER,,Beast,4,,5830,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3043,Gigantes,Effect,EARTH,,Rock,4,,5831,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3044,Silpheed,Effect,WIND,,Fairy,4,,5832,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3045,Chaos Sorcerer,Effect,DARK,,Spellcaster,6,,5833,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3046,Gren Maju Da Eiza,Effect,FIRE,,Fiend,3,,5834,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3047,Black Luster Soldier - Envoy of the Beginning,Effect,LIGHT,,Warrior,8,,5835,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3048,Drillago,Effect,DARK,,Machine,4,,5562,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3049,Lekunga,Effect,WATER,,Plant,4,,5564,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3050,Lord Poison,Effect,WATER,,Plant,4,,5485,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3051,Bowganian,Effect,DARK,,Machine,3,,5687,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3052,Granadora,Effect,WATER,,Reptile,4,,5695,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3053,Fuhma Shuriken,Spell,,Equip Spell,,,,5836,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3054,Heart of the Underdog,Spell,,Continuous Spell,,,,5837,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3055,Wild Nature's Release,Spell,,Normal Spell,,,,5838,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3056,Ojama Delta Hurricane!!,Spell,,Normal Spell,,,,5839,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3057,Stumbling,Spell,,Continuous Spell,,,,5840,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3058,Chaos End,Spell,,Normal Spell,,,,5841,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3059,Yellow Luster Shield,Spell,,Continuous Spell,,,,5161,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3060,Chaos Greed,Spell,,Normal Spell,,,,5842,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3061,D.D. Designator,Spell,,Normal Spell,,,,5843,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3062,D.D. Borderline,Spell,,Continuous Spell,,,,5844,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3063,Recycle,Spell,,Continuous Spell,,,,5845,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3064,Primal Seed,Spell,,Normal Spell,,,,5846,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3065,Thunder Crash,Spell,,Normal Spell,,,,5847,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3066,Dimension Distortion,Spell,,Normal Spell,,,,5848,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3067,Reload,Spell,,Quick-play Spell,,,,5849,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3068,Soul Absorption,Spell,,Continuous Spell,,,,5850,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3069,Big Burn,Trap,,Normal Trap,,,,5851,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3070,Blasting the Ruins,Trap,,Normal Trap,,,,5852,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3071,Cursed Seal of the Forbidden Spell,Trap,,Counter Trap,,,,5853,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3072,Tower of Babel,Trap,,Continuous Trap,,,,5854,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3073,Spatial Collapse,Trap,,Continuous Trap,,,,5855,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3074,Chain Disappearance,Trap,,Normal Trap,,,,5856,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3075,Zero Gravity,Trap,,Normal Trap,,,,5857,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3076,Dark Mirror Force,Trap,,Normal Trap,,,,5858,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3077,Energy Drain,Trap,,Normal Trap,,,,5859,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3078,Giga Gagagigo,Normal,WATER,,Reptile,5,,5871,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3079,Mad Dog of Darkness,Normal,DARK,,Beast,4,,5872,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3080,Neo Bug,Normal,EARTH,,Insect,4,,5873,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3081,Sea Serpent Warrior of Darkness,Normal,WATER,,Sea Serpent,4,,5874,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3082,Terrorking Salmon,Normal,WATER,,Fish,5,,5875,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3083,Blazing Inpachi,Normal,FIRE,,Pyro,4,,5876,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3084,Burning Algae,Effect,FIRE,,Pyro,3,,5877,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3085,The Thing in the Crater,Effect,FIRE,,Pyro,4,,5878,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3086,Molten Zombie,Effect,FIRE,,Pyro,4,,5879,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3087,Dark Magician of Chaos,Effect,DARK,,Spellcaster,8,,5880,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3088,Gora Turtle of Illusion,Effect,WATER,,Aqua,4,,5934,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3089,Manticore of Darkness,Effect,FIRE,,Beast-Warrior,6,,5881,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3090,Stealth Bird,Effect,DARK,,Winged Beast,3,,5882,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3091,Sacred Crane,Effect,LIGHT,,Winged Beast,4,,5883,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3092,Enraged Battle Ox,Effect,EARTH,,Beast-Warrior,4,,5884,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3093,Don Turtle,Effect,WATER,,Reptile,3,,5885,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3094,Balloon Lizard,Effect,EARTH,,Reptile,4,,5886,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3095,Dark Driceratops,Effect,EARTH,,Dinosaur,6,,5887,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3096,Hyper Hammerhead,Effect,EARTH,,Dinosaur,4,,5888,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3097,Black Tyranno,Effect,EARTH,,Dinosaur,7,,5889,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3098,Anti-Aircraft Flower,Effect,EARTH,,Plant,3,,5890,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3099,Prickle Fairy,Effect,EARTH,,Plant,4,,5891,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3100,Pinch Hopper,Effect,EARTH,,Insect,4,,4772,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3101,Skull-Mark Ladybug,Effect,EARTH,,Insect,4,,4770,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3102,Insect Princess,Effect,WIND,,Insect,6,,5892,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3103,Amphibious Bugroth MK-3,Effect,WATER,,Machine,4,,5893,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3104,Torpedo Fish,Effect,WATER,,Fish,3,,5894,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3105,Levia-Dragon - Daedalus,Effect,WATER,,Sea Serpent,7,,5895,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3106,Orca Mega-Fortress of Darkness,Effect,WATER,,Sea Serpent,5,,5896,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3107,Cannonball Spear Shellfish,Effect,WATER,,Aqua,2,,5897,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3108,Mataza the Zapper,Effect,DARK,,Warrior,3,,5898,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3109,Guardian Angel Joan,Effect,LIGHT,,Fairy,7,,5899,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3110,Manju of the Ten Thousand Hands,Effect,LIGHT,,Fairy,4,,5900,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3111,Getsu Fuhma,Effect,DARK,,Warrior,4,,5901,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3112,Ryu Kokki,Effect,DARK,,Zombie,6,,5902,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3113,Gryphon's Feather Duster,Spell,,Normal Spell,,,,5903,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3114,Stray Lambs,Spell,,Normal Spell,,,,5904,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3115,Smashing Ground,Spell,,Normal Spell,,,,5905,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3116,Dimension Fusion,Spell,,Normal Spell,,,,5906,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3117,Dedication through Light and Darkness,Spell,,Quick-play Spell,,,,5907,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3118,Salvage,Spell,,Normal Spell,,,,5908,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3119,Ultra Evolution Pill,Spell,,Normal Spell,,,,5909,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3120,Multiplication of Ants,Spell,,Normal Spell,,,,5116,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3121,Earth Chant,Spell,,Ritual Spell,,,,5910,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3122,Jade Insect Whistle,Spell,,Normal Spell,,,,5911,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3123,Destruction Ring,Trap,,Normal Trap,,,,5912,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3124,Fiend's Hand Mirror,Trap,,Normal Trap,,,,5913,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3125,Compulsory Evacuation Device,Trap,,Normal Trap,,,,5914,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3126,A Hero Emerges,Trap,,Normal Trap,,,,5915,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3127,Self-Destruct Button,Trap,,Normal Trap,,,,5916,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3128,Curse of Darkness,Trap,,Continuous Trap,,,,5917,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3129,"Begone, Knave!",Trap,,Continuous Trap,,,,5918,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3130,DNA Transplant,Trap,,Continuous Trap,,,,5919,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3131,Robbin' Zombie,Trap,,Continuous Trap,,,,5920,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3132,Trap Jammer,Trap,,Counter Trap,,,,5921,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3133,Invader of Darkness,Effect,DARK,,Fiend,8,,5922,INVASION OF CHAOS,2004/07/15,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000016000&rp=99999&request_locale=ae
3134,Vampire Lord,Effect,DARK,,Zombie,5,,5410,DARK CRISIS,2004/05/13,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000013000&rp=99999&request_locale=ae
3135,Battle Footballer,Normal,FIRE,,Machine,4,,5702,DARK CRISIS,2004/05/13,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000013000&rp=99999&request_locale=ae
3136,Nin-Ken Dog,Normal,WIND,,Beast-Warrior,4,,5704,DARK CRISIS,2004/05/13,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000013000&rp=99999&request_locale=ae
3137,Acrobat Monkey,Normal,EARTH,,Machine,3,,5705,DARK CRISIS,2004/05/13,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000013000&rp=99999&request_locale=ae
3138,Arsenal Summoner,Flip,WIND,,Spellcaster,4,,5703,DARK CRISIS,2004/05/13,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000013000&rp=99999&request_locale=ae
3139,Guardian Elma,Effect,WIND,,Fairy,3,,5706,DARK CRISIS,2004/05/13,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000013000&rp=99999&request_locale=ae
3140,Guardian Ceal,Effect,FIRE,,Pyro,4,,5707,DARK CRISIS,2004/05/13,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000013000&rp=99999&request_locale=ae
3141,Guardian Grarl,Effect,EARTH,,Dinosaur,5,,5708,DARK CRISIS,2004/05/13,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000013000&rp=99999&request_locale=ae
3142,Guardian Baou,Effect,DARK,,Fiend,4,,5709,DARK CRISIS,2004/05/13,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000013000&rp=99999&request_locale=ae
3143,Guardian Kay'est,Effect,WATER,,Sea Serpent,4,,5710,DARK CRISIS,2004/05/13,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000013000&rp=99999&request_locale=ae
3144,Guardian Tryce,Effect,LIGHT,,Thunder,5,,5711,DARK CRISIS,2004/05/13,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000013000&rp=99999&request_locale=ae
3145,Cyber Raider,Effect,DARK,,Machine,4,,4760,DARK CRISIS,2004/05/13,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000013000&rp=99999&request_locale=ae
3146,Reflect Bounder,Effect,LIGHT,,Machine,4,,4762,DARK CRISIS,2004/05/13,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000013000&rp=99999&request_locale=ae
3147,Little-Winguard,Effect,WIND,,Warrior,4,,4771,DARK CRISIS,2004/05/13,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000013000&rp=99999&request_locale=ae
3148,Des Feral Imp,Flip,DARK,,Reptile,4,,5359,DARK CRISIS,2004/05/13,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000013000&rp=99999&request_locale=ae
3149,Different Dimension Dragon,Effect,LIGHT,,Dragon,5,,5696,DARK CRISIS,2004/05/13,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000013000&rp=99999&request_locale=ae
3150,"Shinato, King of a Higher Plane",Ritual,LIGHT,,Fairy,8,,5697,DARK CRISIS,2004/05/13,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000013000&rp=99999&request_locale=ae
3151,Dark Flare Knight,Fusion,DARK,,Warrior,6,,5698,DARK CRISIS,2004/05/13,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000013000&rp=99999&request_locale=ae
3152,Mirage Knight,Effect,LIGHT,,Warrior,8,,5699,DARK CRISIS,2004/05/13,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000013000&rp=99999&request_locale=ae
3153,Berserk Dragon,Effect,DARK,,Zombie,8,,5700,DARK CRISIS,2004/05/13,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000013000&rp=99999&request_locale=ae
3154,Exodia Necross,Effect,DARK,,Spellcaster,4,,5701,DARK CRISIS,2004/05/13,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000013000&rp=99999&request_locale=ae
3155,Gyaku-Gire Panda,Effect,EARTH,,Beast,3,,5713,DARK CRISIS,2004/05/13,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000013000&rp=99999&request_locale=ae
3156,Blindly Loyal Goblin,Effect,EARTH,,Warrior,4,,5714,DARK CRISIS,2004/05/13,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000013000&rp=99999&request_locale=ae
3157,Despair from the Dark,Effect,DARK,,Zombie,8,,5715,DARK CRISIS,2004/05/13,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000013000&rp=99999&request_locale=ae
3158,Maju Garzett,Effect,DARK,,Fiend,7,,5716,DARK CRISIS,2004/05/13,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000000013000&rp=99999&request_locale=ae
